distance,epochs,learning_rate,train_loss_CV,train_loss_SN
2.2099247,1,0.0001,2.512584,0.75083375
1.1022377,2,0.0001,2.511748,0.73632205
0.7541799,3,0.0001,2.503863,0.7337449
0.68530464,4,0.0001,2.4941769,0.73279196
0.64979774,5,0.0001,2.483631,0.7320729
0.62342405,6,0.0001,2.473301,0.7313431
0.5882945,7,0.0001,2.4628983,0.7305993
0.564783,8,0.0001,2.4524834,0.72988015
0.54424435,9,0.0001,2.4422297,0.72918886
0.5233465,10,0.0001,2.4319751,0.72846204
0.4999801,11,0.0001,2.421868,0.7277792
0.4880902,12,0.0001,2.4117253,0.7270859
0.47284657,13,0.0001,2.401772,0.7264508
0.45574817,14,0.0001,2.391914,0.7258003
0.44153494,15,0.0001,2.3820868,0.7251995
0.42291957,16,0.0001,2.3723423,0.724623
0.4025756,17,0.0001,2.3628151,0.72410023
0.38983604,18,0.0001,2.353302,0.72361594
0.37180334,19,0.0001,2.3439445,0.72315705
0.3551821,20,0.0001,2.334656,0.7227423
0.34244356,21,0.0001,2.3255196,0.72237366
0.3243023,22,0.0001,2.3165023,0.72205126
0.3117269,23,0.0001,2.3075535,0.7217586
0.29604906,24,0.0001,2.29872,0.7215131
0.28513643,25,0.0001,2.2900245,0.7212728
0.2711409,26,0.0001,2.2814236,0.7210824
0.2602918,27,0.0001,2.2728746,0.7209155
0.24621853,28,0.0001,2.2645545,0.72079784
0.23740248,29,0.0001,2.2562554,0.72069013
0.22422779,30,0.0001,2.2480476,0.72059673
0.2151989,31,0.0001,2.2400036,0.7205405
0.20477995,32,0.0001,2.2320385,0.72051173
0.19934034,33,0.0001,2.2241337,0.7204666
0.19073457,34,0.0001,2.2163184,0.7204264
0.18424657,35,0.0001,2.2086854,0.72042966
0.17866279,36,0.0001,2.201048,0.72046363
0.1732349,37,0.0001,2.1935945,0.72049266
0.16732259,38,0.0001,2.1862004,0.7205079
0.15845482,39,0.0001,2.1788318,0.7205327
0.156592,40,0.0001,2.1716187,0.7205766
0.14685737,41,0.0001,2.1644802,0.7206204
0.14200243,42,0.0001,2.157398,0.7206589
0.14062555,43,0.0001,2.1504085,0.72072893
0.13773206,44,0.0001,2.1435294,0.7207855
0.13093324,45,0.0001,2.1366978,0.7208193
0.12586989,46,0.0001,2.1299202,0.72086155
0.12303944,47,0.0001,2.1232443,0.7209025
0.12359797,48,0.0001,2.1166165,0.7209364
0.116943195,49,0.0001,2.116641,0.720946
0.11598022,50,0.0001,2.1100655,0.7209781
0.111000426,51,0.0001,2.1035998,0.7210233
0.1057414,52,0.0001,2.0971715,0.72105026
0.10300611,53,0.0001,2.0907586,0.7210307
0.10444551,54,0.0001,2.0844479,0.7210263
0.099963576,55,0.0001,2.084445,0.7210254
0.104599014,56,0.0001,2.078168,0.72100073
0.098673865,57,0.0001,2.0781634,0.7209969
0.09605688,58,0.0001,2.0719435,0.72096956
0.09622955,59,0.0001,2.065757,0.72092736
0.09394552,60,0.0001,2.0657403,0.72091496
0.09080595,61,0.0001,2.0596287,0.7208771
0.09060432,62,0.0001,2.0535402,0.7208109
0.08741127,63,0.0001,2.0475183,0.72075444
0.08429714,64,0.0001,2.0415547,0.72066504
0.081027664,65,0.0001,2.0357106,0.72063565
0.07597652,66,0.0001,2.0298722,0.7205629
0.07615477,67,0.0001,2.0241144,0.7204974
0.07619135,68,0.0001,2.024124,0.7205029
0.07399535,69,0.0001,2.0241091,0.72050107
0.07256708,70,0.0001,2.0183895,0.7204298
0.06992508,71,0.0001,2.0127225,0.72036266
0.07023951,72,0.0001,2.0070956,0.72027624
0.07030296,73,0.0001,2.0071044,0.7202883
0.07451935,74,0.0001,2.0070913,0.72027594
0.069654636,75,0.0001,2.0071135,0.7202935
0.06740291,76,0.0001,2.0014944,0.7201987
0.06552689,77,0.0001,1.9959708,0.7201267
0.066452555,78,0.0001,1.9905008,0.7200527
0.066870816,79,0.0001,1.9905022,0.7200639
0.06357023,80,0.0001,1.9905167,0.7200673
0.06409637,81,0.0001,1.985075,0.71998435
0.07746927,82,0.0001,1.9850832,0.7200058
0.06221924,83,0.0001,1.9851041,0.7200066
0.06384427,84,0.0001,1.9796902,0.7199257
0.06477429,85,0.0001,1.9796993,0.7199328
0.064522006,86,0.0001,1.9796872,0.7199216
0.06535882,87,0.0001,1.9796851,0.7199214
0.05990773,88,0.0001,1.9796815,0.7199228
0.060053743,89,0.0001,1.9742981,0.7198414
0.057528954,90,0.0001,1.9742905,0.71983844
0.05593781,91,0.0001,1.9689766,0.7197712
0.059325162,92,0.0001,1.9636809,0.71967816
0.053328324,93,0.0001,1.9637318,0.71971685
0.0534336,94,0.0001,1.9585075,0.7196427
0.056410037,95,0.0001,1.9585304,0.7196598
0.057587754,96,0.0001,1.9585048,0.71963793
0.051808815,97,0.0001,1.9585122,0.7196418
0.054758795,98,0.0001,1.953327,0.7195814
0.05034929,99,0.0001,1.9533364,0.7195766
0.0526732,100,0.0001,1.9481798,0.71949244
0.053913567,101,0.0001,1.948216,0.71951085
0.05192752,102,0.0001,1.9481678,0.71948504
0.050285283,103,0.0001,1.948188,0.7194913
0.059063446,104,0.0001,1.9430593,0.7194024
0.04880102,105,0.0001,1.9429716,0.71932626
0.047575668,106,0.0001,1.937905,0.7192221
0.0467176,107,0.0001,1.9329504,0.7191972
0.052214887,108,0.0001,1.9280442,0.7191625
0.045096908,109,0.0001,1.9280308,0.7191355
0.04604151,110,0.0001,1.9231071,0.7190327
0.06335645,111,0.0001,1.9231453,0.71906495
0.045491997,112,0.0001,1.9231235,0.71905804
0.061203994,113,0.0001,1.9231104,0.7190379
0.2364388,114,0.0001,1.9229965,0.7190354
0.22095081,115,0.0001,1.9228064,0.71900856
0.08343933,116,0.0001,1.9228488,0.71890455
0.04499286,117,0.0001,1.9230974,0.719039
0.0444883,118,0.0001,1.9181706,0.7189378
0.038601447,119,0.0001,1.9133729,0.7189012
0.040057983,120,0.0001,1.9086243,0.7188621
0.037702817,121,0.0001,1.90863,0.71886647
0.037216976,122,0.0001,1.9039342,0.7188278
0.03554458,123,0.0001,1.8992825,0.71878624
0.037891626,124,0.0001,1.8946024,0.7186598
0.038955063,125,0.0001,1.8946375,0.71870005
0.03485275,126,0.0001,1.8947108,0.71876526
0.0331358,127,0.0001,1.8901863,0.7187663
0.037600014,128,0.0001,1.8855977,0.7186501
0.032458678,129,0.0001,1.8855193,0.7185634
0.03461556,130,0.0001,1.8809125,0.7183879
0.034101512,131,0.0001,1.8810823,0.71855354
0.12930375,132,0.0001,1.8818203,0.7192836
0.05976458,133,0.0001,1.8827444,0.7202275
0.062617846,134,0.0001,1.8811349,0.7186046
0.16487285,135,0.0001,1.8806932,0.7183855
0.03383807,136,0.0001,1.8807255,0.7182011
0.036355592,137,0.0001,1.8808916,0.71838224
0.039998867,138,0.0001,1.8810353,0.718523
0.051073484,139,0.0001,1.881334,0.71883714
0.160452,140,0.0001,1.8802191,0.71768504
0.12849781,141,0.0001,1.8808191,0.7182546
0.06409451,142,0.0001,1.8812563,0.71875083
0.05046622,143,0.0001,1.8806223,0.71836793
0.07384936,144,0.0001,1.880757,0.71825194
0.046762753,145,0.0001,1.8807907,0.71831083
0.04202924,146,0.0001,1.880863,0.7183846
0.042324618,147,0.0001,1.8808724,0.7183997
0.13677838,148,0.0001,1.880834,0.7184028
0.08385471,149,0.0001,1.8807104,0.7183116
0.055917073,150,0.0001,1.8806958,0.71825534
0.1202784,151,0.0001,1.880694,0.7183072
0.06395756,152,0.0001,1.8806703,0.7182601
0.03379035,153,0.0001,1.8806978,0.71824723
0.029420562,154,0.0001,1.8808092,0.7183598
0.03083471,155,0.0001,1.8762385,0.71830803
0.05345152,156,0.0001,1.8762765,0.7183545
0.030413276,157,0.0001,1.8762051,0.7182765
0.03221918,158,0.0001,1.8762196,0.71829087
0.03295899,159,0.0001,1.8762335,0.7183231
0.33100358,160,0.0001,1.8761766,0.71825886
0.127163,161,0.0001,1.8758276,0.7181557
0.04377146,162,0.0001,1.8762823,0.71839803
0.034190476,163,0.0001,1.8762479,0.7183302
0.037127573,164,0.0001,1.8762308,0.71833146
0.032940537,165,0.0001,1.8762234,0.7183081
0.054111656,166,0.0001,1.8762224,0.7183324
0.042856373,167,0.0001,1.8761995,0.7183021
0.03151943,168,0.0001,1.8761823,0.7182809
0.0471343,169,0.0001,1.8761858,0.71828717
0.037251472,170,0.0001,1.8761158,0.71825826
0.02889682,171,0.0001,1.876116,0.7182355
0.03761672,172,0.0001,1.8714861,0.7181645
0.08159864,173,0.0001,1.8714913,0.7181548
0.049239907,174,0.0001,1.8713027,0.7181197
0.0742378,175,0.0001,1.8712888,0.7180136
0.037151482,176,0.0001,1.8714788,0.71816176
0.027793232,177,0.0001,1.8714758,0.7181514
0.045971416,178,0.0001,1.8669419,0.71814525
